profile,seed,n,selectivity,policy_complexity,certificate_bytes,server_generation_ms,client_verification_ms,sqlite_query_ms,authorized_rows,range_rows,tree_build_ms,semantic_checked
open_data_permits,1701,3000,0.2,5,83090,4.856208,3.252242,0.144677,105,607,131.27928,True
open_data_permits,1723,3000,0.02,1,13378,1.563637,0.856538,0.144834,1,21,128.15002,True
open_data_permits,1723,3000,0.05,1,36640,3.148289,2.110756,0.076384,7,146,128.15002,True
open_data_permits,1723,3000,0.1,1,40910,3.813155,2.552413,0.072518,12,154,128.15002,True
open_data_permits,1723,3000,0.2,1,82241,4.791633,3.223342,0.12838,45,815,128.15002,True
open_data_permits,1723,3000,0.02,3,11795,1.805658,1.1434,0.140904,2,15,128.15002,True
open_data_permits,1723,3000,0.05,3,34711,2.896433,1.687369,0.135842,18,133,128.15002,True
open_data_permits,1723,3000,0.1,3,31858,3.099103,1.849925,0.099304,17,125,128.15002,True
open_data_permits,1723,3000,0.2,3,77325,4.999292,3.005652,0.253203,107,778,128.15002,True
open_data_permits,1723,3000,0.02,5,10665,1.729826,0.895375,0.148748,0,8,128.15002,True
open_data_permits,1723,3000,0.05,5,34077,3.750385,1.698052,0.135702,25,137,128.15002,True
open_data_permits,1723,3000,0.1,5,26282,2.693157,1.7827,0.088574,17,85,128.15002,True
open_data_permits,1723,3000,0.2,5,65040,3.703087,2.316716,0.232193,132,722,128.15002,True
open_data_permits,1759,3000,0.02,1,6473,1.160064,0.530601,0.137593,0,1,131.053412,True
open_data_permits,1759,3000,0.05,1,25335,2.057127,1.087621,0.068167,5,82,131.053412,True
open_data_permits,1759,3000,0.1,1,78620,4.552472,3.25672,0.091058,17,387,131.053412,True
open_data_permits,1759,3000,0.2,1,75993,4.747533,3.005301,0.09204,24,370,131.053412,True
open_data_permits,1759,3000,0.02,3,16596,1.650458,0.931685,0.165909,5,51,131.053412,True
open_data_permits,1759,3000,0.05,3,23682,2.37959,1.528062,0.077503,12,76,131.053412,True
open_data_permits,1759,3000,0.1,3,51874,3.748263,2.474039,0.119427,63,428,131.053412,True
open_data_permits,1759,3000,0.2,3,63409,4.080159,2.749006,0.097198,31,292,131.053412,True
open_data_permits,1759,3000,0.02,5,25311,2.732778,1.653108,0.153267,9,81,131.053412,True
open_data_permits,1759,3000,0.05,5,16919,2.230742,1.287365,0.105512,7,46,131.053412,True
open_data_permits,1759,3000,0.1,5,56960,4.243089,2.861414,0.150462,79,451,131.053412,True
open_data_permits,1759,3000,0.2,5,52142,3.984986,2.585082,0.119966,35,227,131.053412,True
open_data_permits,1789,3000,0.02,1,12859,1.861395,1.056836,0.138079,0,12,133.987235,True
open_data_permits,1789,3000,0.05,1,25122,2.26863,1.299826,0.064073,4,88,133.987235,True
open_data_permits,1789,3000,0.1,1,61723,4.511352,2.772282,0.157919,22,481,133.987235,True
open_data_permits,1789,3000,0.2,1,39564,2.961847,1.93607,0.112631,9,175,133.987235,True
open_data_permits,1789,3000,0.02,3,8330,1.631174,0.745268,0.146158,1,7,133.987235,True
open_data_permits,1789,3000,0.05,3,26910,2.962121,1.914223,0.077005,6,73,133.987235,True
open_data_permits,1789,3000,0.1,3,64813,4.42046,2.916786,0.142856,53,498,133.987235,True
open_data_permits,1789,3000,0.2,3,50798,3.300501,2.088544,0.154454,90,840,133.987235,True
open_data_permits,1789,3000,0.02,5,12996,1.800973,1.025817,0.149617,5,25,133.987235,True
open_data_permits,1789,3000,0.05,5,21783,2.243173,1.46106,0.072309,6,63,133.987235,True
open_data_permits,1789,3000,0.1,5,66181,4.201799,2.758714,0.135677,84,509,133.987235,True
open_data_permits,1789,3000,0.2,5,72432,4.553191,2.979363,0.20037,156,940,133.987235,True
health_release,1701,3000,0.02,1,20909,2.433804,1.154517,0.158146,1,52,131.942971,True
health_release,1701,3000,0.05,1,33979,2.671012,1.609832,0.079516,4,137,131.942971,True
